time,places,tweet
2023-02-10 07:00:08,,"How to รู้สึกดีขึ้น เวลาที่…
คิดเยอะ &gt;&gt; ไปเขียน
กังวัล &gt;&gt; นั่งสมาธิ
เหนื่อย &gt;&gt; ไปนอน
เศร้า &gt;&gt; ออกกำลังกาย
เครียด &gt;&gt; ออกไปเดินเล่น
โมโห &gt;&gt; ฟังเพลง
ขี้เกียจ &gt;&gt; ลดจอ
เบิร์นเอาท์ &gt;&gt; หาอะไรอ่าน https://t.co/i6RVppXFdK"
2023-02-10 02:32:27,"Bangkok, Thailand","เด็กชาย ม.1 ถูกรุ่นพี่ ม.3

“บังคับสูบกัญชาในห้องน้ำ รร.!”

จนหมดสติ หัวใจหยุดเต้นชั่วขณะ นอน รพ. 5 วัน ระหว่างนั้น รร. ไม่ติดต่อมาเลย

จนวันที่ออกจาก รพ. ติดต่อมาบอกว่าน้องซื้อกัญชามาดูดเอง ทั้งที่น้องก็มีแชตหลักฐานว่ารุ่นพี่ขู่ให้รับผิดไปคนเดียว

https://t.co/78B57utTow https://t.co/ZWnbdUyJl7"
2023-02-10 09:09:33,Thailand,"⚠️อัพเดท! #ฝืนตื่นประท้วง (ประท้วงด้วยการไม่นอนหลับ) วันที่ 4 เก็ทมีอาการเพิ่มเติม ดังนี้
.
▪️มือซ้ายสั่นมาก
▪️ลูกตากลอกเองโดยที่ควบคุมไม่ได้ บางครั้งจะเห็นภาพส่ายไปส่ายมา จึงทำให้อ่านหนังสือไม่ไหวแล้ว
.
ส่วนต้อม-แบงค์ ถูกเบิกตัวมาศาลอาญาเพื่อฟังรายงานสืบเสาะ ทนายจึงไม่ได้เยี่ยม https://t.co/g4iSep0KkL"
2023-02-10 17:29:13,สลิ่มของหยางมี่ 🐝 มี่เฟิง,@junexch ฟังเพลงกล่อมนอนลื่นหูดี นอนไม่หลับเลยทีเดียว 555555555
2023-02-10 17:29:13, ,กุต้องนอนได้ละมั
2023-02-10 17:29:12,NO EXO NO LIFE ,ตอนนี่ปิดไฟจะนอนแล้วแต่สิ่งที่ต้องเจอเพื่อนคอลมาโชว์กินอ่านะ https://t.co/uJ76ANJ23r
2023-02-10 17:29:12,₊˚ˑ 🐄 ꔛ🥛﹆ nct,นอนไม่หลับถ้าหลับแล้วไม่ตื่นแน่นอน….
2023-02-10 17:29:12,"Bangkok, Thailand",ผมนอนตายตาลงะงงำงำงำงงไไมไววไวไวไวไวไวไวไวไไวย/นพ่พภนย_ย_สภสพยะ https://t.co/JH4h8LGfwN
2023-02-10 17:29:11,,@ONLY_I62 ตื่นจีงคั้บๆจะนอนก็กชัวไม่ได้ดูTT
2023-02-10 17:29:05,Open 07:00 - 21:00,500ไม่เซฟ (2ทุน) ก่อนนอนรีวิวแฮชแท็กหน้าไบโอ  #รับปั่นบาคาร่า
